Case,Name,Edge,Dist.,Arch. Type,Mean Edge,Dist. to Center,Worst Dist.
1,Apoptosis network,"(' AKT ', ' IKK ')",2,1-hop,0,0,0
1,Apoptosis network,"(' AKT ', ' Mdm2 ')",2,1-hop,0,0,0
1,Apoptosis network,"(' NFkB ', ' IAP ')",2,1-hop,0,0,0
1,Apoptosis network,"(' NFkB ', ' A20 ')",2,1-hop,0,0,0
1,Apoptosis network,"(' NFkB ', ' IkB ')",2,1-hop,0,0,0
1,Apoptosis network,"(' NFkB ', ' BclX ')",2,1-hop,0,0,0
1,Apoptosis network,"(' IkB ', ' NFkB ')",2,1-hop,0,0,0
1,Apoptosis network,"(' APC ', ' Cas3 ')",2,1-hop,0,0,0
1,Apoptosis network,"(' APC ', ' Cas7 ')",2,1-hop,0,0,0
1,Apoptosis network,"(' IKK ', ' IkB ')",2,1-hop,0,0,0
1,Apoptosis network,"(' PTEN ', ' PIP3 ')",2,1-hop,0,0,0
1,Apoptosis network,"(' GFR ', ' PIP2 ')",2,1-hop,0,0,0
1,Apoptosis network,"(' GFR ', ' PI3K ')",2,1-hop,0,0,0
1,Apoptosis network,"(' Cas6 ', ' IAP ')",2,1-hop,0,0,0
1,Apoptosis network,"(' Cas6 ', ' Cas8 ')",2,1-hop,0,0,0
1,Apoptosis network,"(' Cas6 ', ' Cas3 ')",2,1-hop,0,0,0
1,Apoptosis network,"(' RIP ', ' TRAF2 ')",2,1-hop,0,0,0
1,Apoptosis network,"(' Cas3_dummy ', ' DNADamageEvent ')",2,1-hop,0,0,0
1,Apoptosis network,"(' Cas3 ', ' IAP ')",2,1-hop,0,0,0
1,Apoptosis network,"(' Cas3 ', ' Cas9 ')",2,1-hop,0,0,0
1,Apoptosis network,"(' Cas3 ', ' Cas6 ')",2,1-hop,0,0,0
1,Apoptosis network,"(' Cas3 ', ' Cas3_dummy ')",2,1-hop,0,0,0
1,Apoptosis network,"(' Cas3 ', ' DNADamageEvent ')",2,1-hop,0,0,0
1,Apoptosis network,"(' Mdm2 ', ' p53 ')",2,1-hop,0,0,0
1,Apoptosis network,"(' JNK ', ' BID ')",2,1-hop,0,0,0
1,Apoptosis network,"(' JNK ', ' p53 ')",2,1-hop,0,0,0
1,Apoptosis network,"(' NIK ', ' IKK ')",2,1-hop,0,0,0
1,Apoptosis network,"(' Cas12 ', ' Cas9 ')",2,1-hop,0,0,0
1,Apoptosis network,"(' BclX ', ' BID ')",2,1-hop,0,0,0
1,Apoptosis network,"(' BclX ', ' Mito ')",2,1-hop,0,0,0
1,Apoptosis network,"(' p53 ', ' BAD ')",2,1-hop,0,0,0
1,Apoptosis network,"(' p53 ', ' Apaf1 ')",2,1-hop,0,0,0
1,Apoptosis network,"(' p53 ', ' BID ')",2,1-hop,0,0,0
1,Apoptosis network,"(' p53 ', ' PTEN ')",2,1-hop,0,0,0
1,Apoptosis network,"(' p53 ', ' Mdm2 ')",2,1-hop,0,0,0
1,Apoptosis network,"(' p53 ', ' BclX ')",2,1-hop,0,0,0
1,Apoptosis network,"(' Mito ', ' IAP ')",2,1-hop,0,0,0
1,Apoptosis network,"(' Mito ', ' APC ')",2,1-hop,0,0,0
1,Apoptosis network,"(' TRAF ', ' MEKK1 ')",2,1-hop,0,0,0
1,Apoptosis network,"(' TRAF ', ' cFLIP ')",2,1-hop,0,0,0
1,Apoptosis network,"(' DNADamageEvent ', ' p53 ')",2,1-hop,0,0,0
1,Apoptosis network,"(' Cas7 ', ' Cas12 ')",2,1-hop,0,0,0
1,Apoptosis network,"(' TNF ', ' TNFR1 ')",2,1-hop,0,0,0
1,Apoptosis network,"(' TNF ', ' TNFR2 ')",2,1-hop,0,0,0
1,Apoptosis network,"(' GF ', ' GFR ')",2,1-hop,0,0,0
0,Apoptosis network,"(' IAP ', ' Cas9 ')",4,chess,0,0,0
0,Apoptosis network,"(' IAP ', ' APC ')",4,chess,0,0,0
0,Apoptosis network,"(' IAP ', ' Cas6 ')",4,chess,0,0,0
0,Apoptosis network,"(' IAP ', ' Cas3 ')",4,chess,0,0,0
0,Apoptosis network,"(' IAP ', ' Cas7 ')",4,chess,0,0,0
0,Apoptosis network,"(' Cas8 ', ' BID ')",4,chess,0,0,0
0,Apoptosis network,"(' Cas8 ', ' Cas3 ')",4,chess,0,0,0
0,Apoptosis network,"(' Cas8 ', ' Cas7 ')",4,chess,0,0,0
0,Apoptosis network,"(' MEKK1 ', ' JNKK ')",4,chess,0,0,0
0,Apoptosis network,"(' Cas9 ', ' APC ')",4,chess,0,0,0
0,Apoptosis network,"(' TRADD ', ' FADD ')",4,chess,0,0,0
0,Apoptosis network,"(' TRADD ', ' RIP ')",4,chess,0,0,0
0,Apoptosis network,"(' TRADD ', ' TRAF ')",4,chess,0,0,0
0,Apoptosis network,"(' PIP2 ', ' PIP3 ')",4,chess,0,0,0
0,Apoptosis network,"(' FADD ', ' Cas8 ')",4,chess,0,0,0
0,Apoptosis network,"(' BAD ', ' BclX ')",4,chess,0,0,0
0,Apoptosis network,"(' TRAF2 ', ' NIK ')",4,chess,0,0,0
0,Apoptosis network,"(' PIP3 ', ' AKT ')",4,chess,0,0,0
0,Apoptosis network,"(' JNKK ', ' JNK ')",4,chess,0,0,0
0,Apoptosis network,"(' Apaf1 ', ' APC ')",4,chess,0,0,0
0,Apoptosis network,"(' A20 ', ' IKK ')",4,chess,0,0,0
0,Apoptosis network,"(' TNFR1 ', ' TRADD ')",4,chess,0,0,0
0,Apoptosis network,"(' BID ', ' Mito ')",4,chess,0,0,0
0,Apoptosis network,"(' cFLIP ', ' Cas8 ')",4,chess,0,0,0
0,Apoptosis network,"(' PI3K ', ' PIP3 ')",4,chess,0,0,0
0,Apoptosis network,"(' AKT ', ' Cas9 ')",4,chess,0,0,0
0,Apoptosis network,"(' AKT ', ' BAD ')",4,chess,0,0,0
0,Apoptosis network,"(' AKT ', ' JNKK ')",4,chess,0,0,0
0,Apoptosis network,"(' AKT ', ' IKK ')",4,chess,0,0,0
0,Apoptosis network,"(' AKT ', ' Mdm2 ')",4,chess,0,0,0
0,Apoptosis network,"(' NFkB ', ' IAP ')",4,chess,0,0,0
0,Apoptosis network,"(' NFkB ', ' A20 ')",4,chess,0,0,0
0,Apoptosis network,"(' NFkB ', ' IkB ')",4,chess,0,0,0
0,Apoptosis network,"(' NFkB ', ' BclX ')",4,chess,0,0,0
0,Apoptosis network,"(' IkB ', ' NFkB ')",4,chess,0,0,0
0,Apoptosis network,"(' APC ', ' Cas3 ')",4,chess,0,0,0
0,Apoptosis network,"(' APC ', ' Cas7 ')",4,chess,0,0,0
0,Apoptosis network,"(' IKK ', ' IkB ')",4,chess,0,0,0
0,Apoptosis network,"(' PTEN ', ' PIP3 ')",4,chess,0,0,0
0,Apoptosis network,"(' GFR ', ' PIP2 ')",4,chess,0,0,0
0,Apoptosis network,"(' GFR ', ' PI3K ')",4,chess,0,0,0
0,Apoptosis network,"(' Cas6 ', ' IAP ')",4,chess,0,0,0
0,Apoptosis network,"(' Cas6 ', ' Cas8 ')",4,chess,0,0,0
0,Apoptosis network,"(' Cas6 ', ' Cas3 ')",4,chess,0,0,0
0,Apoptosis network,"(' RIP ', ' TRAF2 ')",4,chess,0,0,0
0,Apoptosis network,"(' Cas3_dummy ', ' DNADamageEvent ')",4,chess,0,0,0
0,Apoptosis network,"(' Cas3 ', ' IAP ')",4,chess,0,0,0
0,Apoptosis network,"(' Cas3 ', ' Cas9 ')",4,chess,0,0,0
0,Apoptosis network,"(' Cas3 ', ' Cas6 ')",4,chess,0,0,0
0,Apoptosis network,"(' Cas3 ', ' Cas3_dummy ')",4,chess,0,0,0
0,Apoptosis network,"(' Cas3 ', ' DNADamageEvent ')",4,chess,0,0,0
0,Apoptosis network,"(' Mdm2 ', ' p53 ')",4,chess,0,0,0
0,Apoptosis network,"(' JNK ', ' BID ')",4,chess,0,0,0
0,Apoptosis network,"(' JNK ', ' p53 ')",4,chess,0,0,0
0,Apoptosis network,"(' NIK ', ' IKK ')",4,chess,0,0,0
0,Apoptosis network,"(' Cas12 ', ' Cas9 ')",4,chess,0,0,0
0,Apoptosis network,"(' BclX ', ' BID ')",4,chess,0,0,0
0,Apoptosis network,"(' BclX ', ' Mito ')",4,chess,0,0,0
0,Apoptosis network,"(' p53 ', ' BAD ')",4,chess,0,0,0
0,Apoptosis network,"(' p53 ', ' Apaf1 ')",4,chess,0,0,0
0,Apoptosis network,"(' p53 ', ' BID ')",4,chess,0,0,0
0,Apoptosis network,"(' p53 ', ' PTEN ')",4,chess,0,0,0
0,Apoptosis network,"(' p53 ', ' Mdm2 ')",4,chess,0,0,0
0,Apoptosis network,"(' p53 ', ' BclX ')",4,chess,0,0,0
0,Apoptosis network,"(' Mito ', ' IAP ')",4,chess,0,0,0
0,Apoptosis network,"(' Mito ', ' APC ')",4,chess,0,0,0
0,Apoptosis network,"(' TRAF ', ' MEKK1 ')",4,chess,0,0,0
0,Apoptosis network,"(' TRAF ', ' cFLIP ')",4,chess,0,0,0
0,Apoptosis network,"(' DNADamageEvent ', ' p53 ')",4,chess,0,0,0
0,Apoptosis network,"(' Cas7 ', ' Cas12 ')",4,chess,0,0,0
0,Apoptosis network,"(' TNF ', ' TNFR1 ')",4,chess,0,0,0
0,Apoptosis network,"(' TNF ', ' TNFR2 ')",4,chess,0,0,0
0,Apoptosis network,"(' GF ', ' GFR ')",4,chess,0,0,0
9,Apoptosis network,"(' IAP ', ' Cas9 ')",4,mesh,0,0,0
9,Apoptosis network,"(' IAP ', ' APC ')",4,mesh,0,0,0
9,Apoptosis network,"(' IAP ', ' Cas6 ')",4,mesh,0,0,0
9,Apoptosis network,"(' IAP ', ' Cas3 ')",4,mesh,0,0,0
9,Apoptosis network,"(' IAP ', ' Cas7 ')",4,mesh,0,0,0
9,Apoptosis network,"(' Cas8 ', ' BID ')",4,mesh,0,0,0
9,Apoptosis network,"(' Cas8 ', ' Cas3 ')",4,mesh,0,0,0
9,Apoptosis network,"(' Cas8 ', ' Cas7 ')",4,mesh,0,0,0
9,Apoptosis network,"(' MEKK1 ', ' JNKK ')",4,mesh,0,0,0
9,Apoptosis network,"(' Cas9 ', ' APC ')",4,mesh,0,0,0
9,Apoptosis network,"(' TRADD ', ' FADD ')",4,mesh,0,0,0
9,Apoptosis network,"(' TRADD ', ' RIP ')",4,mesh,0,0,0
9,Apoptosis network,"(' TRADD ', ' TRAF ')",4,mesh,0,0,0
9,Apoptosis network,"(' PIP2 ', ' PIP3 ')",4,mesh,0,0,0
9,Apoptosis network,"(' FADD ', ' Cas8 ')",4,mesh,0,0,0
9,Apoptosis network,"(' BAD ', ' BclX ')",4,mesh,0,0,0
9,Apoptosis network,"(' TRAF2 ', ' NIK ')",4,mesh,0,0,0
9,Apoptosis network,"(' PIP3 ', ' AKT ')",4,mesh,0,0,0
9,Apoptosis network,"(' JNKK ', ' JNK ')",4,mesh,0,0,0
9,Apoptosis network,"(' Apaf1 ', ' APC ')",4,mesh,0,0,0
9,Apoptosis network,"(' A20 ', ' IKK ')",4,mesh,0,0,0
9,Apoptosis network,"(' TNFR1 ', ' TRADD ')",4,mesh,0,0,0
9,Apoptosis network,"(' BID ', ' Mito ')",4,mesh,0,0,0
9,Apoptosis network,"(' cFLIP ', ' Cas8 ')",4,mesh,0,0,0
9,Apoptosis network,"(' PI3K ', ' PIP3 ')",4,mesh,0,0,0
9,Apoptosis network,"(' AKT ', ' Cas9 ')",4,mesh,0,0,0
9,Apoptosis network,"(' AKT ', ' BAD ')",4,mesh,0,0,0
9,Apoptosis network,"(' AKT ', ' JNKK ')",4,mesh,0,0,0
9,Apoptosis network,"(' AKT ', ' IKK ')",4,mesh,0,0,0
9,Apoptosis network,"(' AKT ', ' Mdm2 ')",4,mesh,0,0,0
9,Apoptosis network,"(' NFkB ', ' IAP ')",4,mesh,0,0,0
9,Apoptosis network,"(' NFkB ', ' A20 ')",4,mesh,0,0,0
9,Apoptosis network,"(' NFkB ', ' IkB ')",4,mesh,0,0,0
9,Apoptosis network,"(' NFkB ', ' BclX ')",4,mesh,0,0,0
9,Apoptosis network,"(' IkB ', ' NFkB ')",4,mesh,0,0,0
9,Apoptosis network,"(' APC ', ' Cas3 ')",4,mesh,0,0,0
9,Apoptosis network,"(' APC ', ' Cas7 ')",4,mesh,0,0,0
9,Apoptosis network,"(' IKK ', ' IkB ')",4,mesh,0,0,0
9,Apoptosis network,"(' PTEN ', ' PIP3 ')",4,mesh,0,0,0
9,Apoptosis network,"(' GFR ', ' PIP2 ')",4,mesh,0,0,0
9,Apoptosis network,"(' GFR ', ' PI3K ')",4,mesh,0,0,0
9,Apoptosis network,"(' Cas6 ', ' IAP ')",4,mesh,0,0,0
9,Apoptosis network,"(' Cas6 ', ' Cas8 ')",4,mesh,0,0,0
9,Apoptosis network,"(' Cas6 ', ' Cas3 ')",4,mesh,0,0,0
9,Apoptosis network,"(' RIP ', ' TRAF2 ')",4,mesh,0,0,0
9,Apoptosis network,"(' Cas3_dummy ', ' DNADamageEvent ')",4,mesh,0,0,0
9,Apoptosis network,"(' Cas3 ', ' IAP ')",4,mesh,0,0,0
9,Apoptosis network,"(' Cas3 ', ' Cas9 ')",4,mesh,0,0,0
9,Apoptosis network,"(' Cas3 ', ' Cas6 ')",4,mesh,0,0,0
9,Apoptosis network,"(' Cas3 ', ' Cas3_dummy ')",4,mesh,0,0,0
9,Apoptosis network,"(' Cas3 ', ' DNADamageEvent ')",4,mesh,0,0,0
9,Apoptosis network,"(' Mdm2 ', ' p53 ')",4,mesh,0,0,0
9,Apoptosis network,"(' JNK ', ' BID ')",4,mesh,0,0,0
9,Apoptosis network,"(' JNK ', ' p53 ')",4,mesh,0,0,0
9,Apoptosis network,"(' NIK ', ' IKK ')",4,mesh,0,0,0
9,Apoptosis network,"(' Cas12 ', ' Cas9 ')",4,mesh,0,0,0
9,Apoptosis network,"(' BclX ', ' BID ')",4,mesh,0,0,0
9,Apoptosis network,"(' BclX ', ' Mito ')",4,mesh,0,0,0
9,Apoptosis network,"(' p53 ', ' BAD ')",4,mesh,0,0,0
9,Apoptosis network,"(' p53 ', ' Apaf1 ')",4,mesh,0,0,0
9,Apoptosis network,"(' p53 ', ' BID ')",4,mesh,0,0,0
9,Apoptosis network,"(' p53 ', ' PTEN ')",4,mesh,0,0,0
9,Apoptosis network,"(' p53 ', ' Mdm2 ')",4,mesh,0,0,0
9,Apoptosis network,"(' p53 ', ' BclX ')",4,mesh,0,0,0
9,Apoptosis network,"(' Mito ', ' IAP ')",4,mesh,0,0,0
9,Apoptosis network,"(' Mito ', ' APC ')",4,mesh,0,0,0
9,Apoptosis network,"(' TRAF ', ' MEKK1 ')",4,mesh,0,0,0
9,Apoptosis network,"(' TRAF ', ' cFLIP ')",4,mesh,0,0,0
9,Apoptosis network,"(' DNADamageEvent ', ' p53 ')",4,mesh,0,0,0
9,Apoptosis network,"(' Cas7 ', ' Cas12 ')",4,mesh,0,0,0
9,Apoptosis network,"(' TNF ', ' TNFR1 ')",4,mesh,0,0,0
9,Apoptosis network,"(' TNF ', ' TNFR2 ')",4,mesh,0,0,0
9,Apoptosis network,"(' GF ', ' GFR ')",4,mesh,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' gp130 ', ' PI3K ')",3,1-hop,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' gp130 ', ' JAK1 ')",3,1-hop,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' gp130 ', ' JAK2 ')",3,1-hop,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' gp130 ', ' RAS ')",3,1-hop,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' DNAdam ', ' ATM ')",3,1-hop,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' DNAdam ', ' STRESS ')",3,1-hop,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' Fas ', ' FasL ')",3,1-hop,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' Fas ', ' Cas8 ')",3,1-hop,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' Fas ', ' BID ')",3,1-hop,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' MEKK ', ' MYC ')",3,1-hop,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' RIP ', ' IKK ')",3,1-hop,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' MKK4 ', ' JNK ')",3,1-hop,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' p21 ', ' CDK4 ')",3,1-hop,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' p21 ', ' CDK2 ')",3,1-hop,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' BAX ', ' MITO ')",3,1-hop,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' BAX ', ' Bclxl ')",3,1-hop,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' TRAF3 ', ' NIK ')",3,1-hop,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' CYCD ', ' CDK6 ')",3,1-hop,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' CYCD ', ' CDK4 ')",3,1-hop,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' BCL2 ', ' BAX ')",3,1-hop,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' BCL2 ', ' BID ')",3,1-hop,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' RAF ', ' MEK1 ')",3,1-hop,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' Cas3 ', ' gp130 ')",3,1-hop,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' Cas3 ', ' DNAdam ')",3,1-hop,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' Cas3 ', ' STAT3 ')",3,1-hop,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' Cas3 ', ' Cl_PARP ')",3,1-hop,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' Cas3 ', ' ATM ')",3,1-hop,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' MEK1 ', ' MEKK ')",3,1-hop,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' MEK1 ', ' MAPK ')",3,1-hop,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' FLIP ', ' Cas8 ')",3,1-hop,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' STAT3 ', ' pSTAT3 ')",3,1-hop,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' AKT ', ' p21 ')",3,1-hop,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' AKT ', ' CYCD ')",3,1-hop,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' AKT ', ' BAD ')",3,1-hop,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' AKT ', ' IKK ')",3,1-hop,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' AKT ', ' Cas9 ')",3,1-hop,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' AKT ', ' p27 ')",3,1-hop,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' AKT ', ' MDM ')",3,1-hop,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' p53 ', ' Fas ')",3,1-hop,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' p53 ', ' p21 ')",3,1-hop,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' p53 ', ' BAX ')",3,1-hop,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' p53 ', ' BCL2 ')",3,1-hop,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' p53 ', ' XIAP ')",3,1-hop,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' p53 ', ' PTEN ')",3,1-hop,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' p53 ', ' Bclxl ')",3,1-hop,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' p53 ', ' p27 ')",3,1-hop,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' p53 ', ' MDM ')",3,1-hop,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' CDK6 ', ' pRB ')",3,1-hop,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' Cl_PARP ', ' Apo ')",3,1-hop,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' CDK4 ', ' p21 ')",3,1-hop,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' CDK4 ', ' pRB ')",3,1-hop,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' CDK4 ', ' p27 ')",3,1-hop,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' pSTAT3 ', ' BCL2 ')",3,1-hop,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' pSTAT3 ', ' XIAP ')",3,1-hop,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' pSTAT3 ', ' pNFKB ')",3,1-hop,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' pSTAT3 ', ' Bclxl ')",3,1-hop,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' pSTAT3 ', ' MYC ')",3,1-hop,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' MITO ', ' Cytc ')",3,1-hop,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' MITO ', ' Smac ')",3,1-hop,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' PIP3 ', ' AKT ')",3,1-hop,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' PIP3 ', ' PIP3 ')",3,1-hop,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' ERK ', ' CYCD ')",3,1-hop,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' ERK ', ' MYC ')",3,1-hop,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' BAD ', ' BCL2 ')",3,1-hop,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' BAD ', ' Bclxl ')",3,1-hop,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' CDK2 ', ' pRB ')",3,1-hop,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' FasL ', ' Fas ')",3,1-hop,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' FasL ', ' Cas8 ')",3,1-hop,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' IL6 ', ' PI3K ')",3,1-hop,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' IL6 ', ' JAK1 ')",3,1-hop,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' IL6 ', ' JAK2 ')",3,1-hop,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' IL6 ', ' RAS ')",3,1-hop,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' Cytc ', ' Cas9 ')",3,1-hop,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' IKK ', ' pSTAT3 ')",3,1-hop,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' IKK ', ' pIKB ')",3,1-hop,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' cJun ', ' FasL ')",3,1-hop,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' Cas8 ', ' Cas3 ')",3,1-hop,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' Cas8 ', ' BID ')",3,1-hop,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' RAC ', ' MEKK2 ')",3,1-hop,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' MAPK ', ' ERK ')",3,1-hop,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' NIK ', ' IKK ')",3,1-hop,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' XIAP ', ' Cas3 ')",3,1-hop,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' XIAP ', ' Cas9 ')",3,1-hop,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' Cas9 ', ' Cas3 ')",3,1-hop,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' pIKB ', ' pNFKB ')",3,1-hop,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' JAK1 ', ' pSTAT3 ')",3,1-hop,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' ATM ', ' DNAPK ')",3,1-hop,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' ATM ', ' MDM ')",3,1-hop,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' Smac ', ' XIAP ')",3,1-hop,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' BID ', ' BAX ')",3,1-hop,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' pRB ', ' GROWTH ')",3,1-hop,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' DNAPK ', ' p53 ')",3,1-hop,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' PTEN ', ' PIP3 ')",3,1-hop,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' pNFKB ', ' BCL2 ')",3,1-hop,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' pNFKB ', ' FLIP ')",3,1-hop,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' pNFKB ', ' IL6 ')",3,1-hop,0,0,0
1,Bortezomib Responses in U266 Human Myelo,"(' pNFKB ', ' XIAP ')",3,1-hop,0,0,0
